No,Block,Date,10% percentile,25% percentile,50% percentile,75% percentile,100% percentile
1,890816,2025-04-04 11:59:14,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),200.0 (sats/vB)
2,890815,2025-04-04 11:58:41,1.01 (sats/vB),1.01 (sats/vB),1.1 (sats/vB),2.98 (sats/vB),300.0 (sats/vB)
3,890814,2025-04-04 11:48:42,1.22 (sats/vB),2.0 (sats/vB),2.76 (sats/vB),3.54 (sats/vB),437.96 (sats/vB)
4,890813,2025-04-04 11:31:06,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),26.08 (sats/vB)
5,890812,2025-04-04 11:30:22,1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),2.0 (sats/vB),263.16 (sats/vB)
6,890811,2025-04-04 11:24:43,1.01 (sats/vB),1.01 (sats/vB),2.0 (sats/vB),3.0 (sats/vB),263.16 (sats/vB)
7,890810,2025-04-04 11:11:44,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),100.0 (sats/vB)
8,890809,2025-04-04 11:10:09,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),2.13 (sats/vB),249.89 (sats/vB)
9,890808,2025-04-04 10:59:50,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.39 (sats/vB),502.25 (sats/vB)
10,890807,2025-04-04 10:52:19,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),100.0 (sats/vB)
11,890806,2025-04-04 10:49:14,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),150.49 (sats/vB)
12,890805,2025-04-04 10:48:03,1.0 (sats/vB),1.0 (sats/vB),1.02 (sats/vB),2.4 (sats/vB),100.0 (sats/vB)
13,890804,2025-04-04 10:41:59,1.54 (sats/vB),2.0 (sats/vB),2.97 (sats/vB),3.5 (sats/vB),200.0 (sats/vB)
14,890803,2025-04-04 10:20:36,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),100.0 (sats/vB)
15,890802,2025-04-04 10:19:41,1.01 (sats/vB),2.0 (sats/vB),2.34 (sats/vB),3.22 (sats/vB),183.09 (sats/vB)
16,890801,2025-04-04 10:06:44,1.01 (sats/vB),1.25 (sats/vB),2.0 (sats/vB),2.12 (sats/vB),122.62 (sats/vB)
17,890800,2025-04-04 10:04:54,2.97 (sats/vB),3.0 (sats/vB),3.42 (sats/vB),5.67 (sats/vB),603.39 (sats/vB)
18,890799,2025-04-04 09:32:16,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),2.0 (sats/vB),200.0 (sats/vB)
19,890798,2025-04-04 09:23:42,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),100.0 (sats/vB)
20,890797,2025-04-04 09:20:40,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),100.0 (sats/vB)
21,890796,2025-04-04 09:20:11,1.01 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),2.01 (sats/vB),150.61 (sats/vB)
22,890795,2025-04-04 09:13:54,1.07 (sats/vB),1.99 (sats/vB),2.24 (sats/vB),3.01 (sats/vB),110.0 (sats/vB)
23,890794,2025-04-04 09:00:31,1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),1.0 (sats/vB),300.0 (sats/vB)
24,890793,2025-04-04 08:56:23,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),209.15 (sats/vB)
25,890792,2025-04-04 08:52:59,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.09 (sats/vB),200.0 (sats/vB)
26,890791,2025-04-04 08:46:48,1.0 (sats/vB),1.0 (sats/vB),1.01 (sats/vB),1.01 (sats/vB),20.06 (sats/vB)
27,890790,2025-04-04 08:46:39,1.07 (sats/vB),1.45 (sats/vB),2.22 (sats/vB),3.01 (sats/vB),250.0 (sats/vB)
28,890789,2025-04-04 08:36:54,2.0 (sats/vB),2.04 (sats/vB),3.0 (sats/vB),3.46 (sats/vB),200.0 (sats/vB)
