Date,Transactions Per Block,Circulating Bitcoin,Estimated Transaction Volume,Fees Per Transaction,Market Value to Realised Value,Confirmed Payments,Price,Vol.,Change %
2010-10-09,2.13797169811321,,4297.8807,1.901162790697675e-10,,126453.0,0.1,187.85K,0.00%
2010-10-10,2.144457547169815,,3621.55875,2.8517441860465126e-10,,126831.0,0.1,50.68K,0.00%
2010-10-11,2.15094339622642,,2945.2368,3.80232558139535e-10,,127185.5,0.1,14.09K,0.00%
2010-10-12,2.0764843833280073,,3295.342325,2.8517441860465126e-10,,127540.0,0.1,25.66K,0.00%
2010-10-13,2.002025370429595,,3645.4478500000005,1.901162790697675e-10,,127894.5,0.1,47.56K,0.00%
2010-10-14,1.9275663575311826,,3995.5533750000004,9.505813953488375e-11,,128249.0,0.1,37.22K,0.00%
2010-10-15,1.85310734463277,,4345.6589,0.0,,128647.5,0.1,24.64K,0.00%
2010-10-16,2.2921742584745775,,4164.602425,0.0,,129046.0,0.1,6.29K,0.00%
2010-10-17,2.731241172316385,,3983.54595,0.0,,129444.5,0.1,18.22K,0.00%
2010-10-18,3.1703080861581925,,3802.4894750000003,0.0,,129843.0,0.1,25.67K,0.00%
2010-10-19,3.609375,,3621.433,0.0,,130535.75,0.1,6.24K,0.00%
2010-10-20,3.4456026785714275,,3312.78185,2.1551724137931027e-06,,131228.5,0.1,31.86K,0.00%
2010-10-21,3.281830357142855,,3004.1306999999997,4.310344827586205e-06,,131921.25,0.1,44.87K,0.00%
2010-10-22,3.1180580357142826,,2695.47955,6.4655172413793085e-06,,132614.0,0.1,34.60K,0.00%
2010-10-23,2.95428571428571,,2386.8284,8.62068965517241e-06,,133133.25,0.1,4.42K,0.00%
2010-10-24,2.88238095238095,,5895.799,6.4655172413793085e-06,,133652.5,0.1,13.80K,0.00%
2010-10-25,2.81047619047619,,9404.7696,4.310344827586205e-06,,134171.75,0.1,30.30K,0.00%
2010-10-26,2.73857142857143,,12913.7402,2.1551724137931023e-06,,134691.0,0.2,19.22K,0.00%
2010-10-27,2.66666666666667,,16422.7108,0.0,,135201.0,0.2,65.61K,0.00%
2010-10-28,2.4287709497206724,,14550.516825,0.0,,135711.0,0.2,21.53K,0.00%
2010-10-29,2.190875232774675,,12678.32285,0.0,,136221.0,0.2,28.69K,0.00%
2010-10-30,1.9529795158286776,,10806.128875,0.0,,136731.0,0.2,26.71K,0.00%
2010-10-31,1.71508379888268,,8933.9349,0.0,,137073.25,0.2,40.34K,0.00%
2010-11-01,1.7116859834903675,,15187.616325,0.0,,137415.5,0.2,21.26K,0.00%
2010-11-02,1.708288168098055,,21441.29775,0.0,,137757.75,0.2,5.85K,0.00%
