Date,Fees Per Transaction
2009-01-17,0.0
2009-01-21,0.0
2009-01-25,0.0
2009-01-29,0.0
2009-02-02,0.0
2009-02-06,0.0
2009-02-10,0.0
2009-02-14,0.0
2009-02-18,0.0
2009-02-22,0.0
2009-02-26,0.0
2009-03-02,0.0
2009-03-06,0.0
2009-03-10,0.0
2009-03-14,0.0
2009-03-18,0.0
2009-03-22,0.0
2009-03-26,0.0
2009-03-30,0.0
2009-04-03,0.0
2009-04-07,0.0
2009-04-11,0.0
2009-04-15,0.0
2009-04-19,0.0
2009-04-23,0.0
2009-04-27,0.0
2009-05-01,0.0
2009-05-05,0.0
2009-05-09,0.0
2009-05-13,0.0
2009-05-17,0.0
2009-05-21,0.0
2009-05-25,0.0
2009-05-29,0.0
2009-06-02,0.0
2009-06-06,0.0
2009-06-10,0.0
2009-06-14,0.0
2009-06-18,0.0
2009-06-22,0.0
2009-06-26,0.0
2009-06-30,0.0
2009-07-04,0.0
2009-07-08,0.0
2009-07-12,0.0
2009-07-16,0.0
2009-07-20,0.0
2009-07-24,0.0
2009-07-28,0.0
2009-08-01,0.0
2009-08-05,0.0
2009-08-09,0.0
2009-08-13,0.0
2009-08-17,0.0
2009-08-21,0.0
2009-08-25,0.0
2009-08-29,0.0
2009-09-02,0.0
2009-09-06,0.0
2009-09-10,0.0
2009-09-14,0.0
2009-09-18,0.0
2009-09-22,0.0
2009-09-26,0.0
2009-09-30,0.0
2009-10-04,0.0
2009-10-08,0.0
2009-10-12,0.0
2009-10-16,0.0
2009-10-20,0.0
2009-10-24,0.0
2009-10-28,0.0
2009-11-01,0.0
2009-11-05,0.0
2009-11-09,0.0
2009-11-13,0.0
2009-11-17,0.0
2009-11-21,0.0
2009-11-25,0.0
2009-11-29,0.0
2009-12-03,0.0
2009-12-07,0.0
2009-12-11,0.0
2009-12-15,0.0
2009-12-19,0.0
2009-12-23,0.0
2009-12-27,0.0
2009-12-31,0.0
2010-01-04,0.0
2010-01-08,0.0
2010-01-12,0.0
2010-01-16,0.0
2010-01-20,0.0
2010-01-24,0.0
2010-01-28,0.0
2010-02-01,0.0
2010-02-05,0.0
2010-02-09,0.0
2010-02-13,0.0
2010-02-17,0.0
2010-02-21,0.0
2010-02-25,0.0
2010-03-01,0.0
2010-03-05,0.0
2010-03-09,0.0
2010-03-13,0.0
2010-03-17,0.0
2010-03-21,0.0
2010-03-25,0.0
2010-03-29,0.0
2010-04-02,0.0
2010-04-06,0.0
2010-04-10,0.0
2010-04-14,0.0
2010-04-18,0.0
2010-04-22,0.0
2010-04-26,0.0
2010-04-30,0.0
2010-05-04,0.0
2010-05-08,0.0
2010-05-12,0.0
2010-05-16,0.0
2010-05-20,0.0
2010-05-24,0.0
2010-05-28,0.0
2010-06-01,0.0
2010-06-05,0.0
2010-06-09,0.0
2010-06-13,0.0
2010-06-17,0.0
2010-06-21,0.0
2010-06-25,0.0
2010-06-29,0.0
2010-07-03,0.0
2010-07-07,0.0
2010-07-11,0.0
2010-07-15,0.0
2010-07-19,0.0
2010-07-23,0.0
2010-07-27,0.0
2010-07-31,0.0
2010-08-04,0.0
2010-08-08,0.0
2010-08-12,0.0
2010-08-16,0.0
2010-08-20,0.0
2010-08-24,0.000146596858638743
2010-08-28,2.27138643067847e-10
2010-09-01,1.26316105263158e-05
2010-09-05,1.92926045016077e-06
2010-09-09,2.02454171779141e-05
2010-09-13,1.36674259681093e-11
2010-09-17,0.0
2010-09-21,7.36196319018405e-12
2010-09-25,0.0
2010-09-29,0.0
2010-10-03,1.22625e-06
2010-10-07,0.0
2010-10-11,3.80232558139535e-10
2010-10-15,0.0
2010-10-19,0.0
2010-10-23,8.62068965517241e-06
2010-10-27,0.0
2010-10-31,0.0
2010-11-04,0.0
2010-11-08,0.000750192307692308
2010-11-12,0.0
2010-11-16,0.0
2010-11-20,2.90528046024245e-05
2010-11-24,1.47133434804668e-05
2010-11-28,0.0
2010-12-02,2.98701298701299e-05
2010-12-06,2.15623234439834e-05
2010-12-10,4.29333333333333e-05
2010-12-14,1.7664646310832e-05
2010-12-18,3.32014171656687e-05
2010-12-22,6.7473578028169e-05
2010-12-26,4.49171726190476e-05
2010-12-30,4.62698764607679e-05
2011-01-03,0.000193684579787234
2011-01-07,1.56353807205453e-05
2011-01-11,1.16941582530949e-05
2011-01-15,4.62193221221221e-05
2011-01-19,1.99370409233998e-05
2011-01-23,0.000139095001531531
2011-01-27,0.000296470588235294
2011-01-31,0.000260571428571429
2011-02-04,0.000100007101244813
2011-02-08,0.000186705178947368
2011-02-12,0.000399647186297071
2011-02-16,0.000304443382704252
2011-02-20,0.000101522842639594
2011-02-24,7.45135565949485e-05
2011-02-28,0.000289034662325581
2011-03-04,0.000341805247225025
2011-03-08,0.00143512545527678
2011-03-12,0.000489174436858006
2011-03-16,0.000511781338360038
2011-03-20,0.000693633510371442
2011-03-24,0.00306209517393526
2011-03-28,0.0013387269681742
2011-04-01,0.00166666666666667
2011-04-05,0.00188896272434422
2011-04-09,0.00191915753029429
2011-04-13,0.00157560185187684
2011-04-17,0.00103747274313127
2011-04-21,0.00211408906527415
2011-04-25,0.00632900560676403
2011-04-29,0.00558613314301076
2011-05-03,0.00569585608475094
2011-05-07,0.00616142790670076
2011-05-11,0.0138096748196627
2011-05-15,0.0348197331456419
2011-05-19,0.0267335705725191
2011-05-23,0.0211819109502694
2011-05-27,0.0263185721753142
2011-05-31,0.0291829382612738
2011-06-04,0.0549658951659857
2011-06-08,0.0831881354652899
2011-06-12,0.103034036465833
2011-06-16,0.0500077042265573
2011-06-20,0.0334357925281069
2011-06-24,0.0242966097743637
2011-06-28,0.0331274693441179
2011-07-02,0.0310209625038457
2011-07-06,0.0248340148385208
2011-07-10,0.0225996207122974
2011-07-14,0.0217267492363699
2011-07-18,0.0212912701283575
2011-07-22,0.0209944340730063
2011-07-26,0.0137208418145998
2011-07-30,0.0126220969295596
2011-08-03,0.0139578239911193
2011-08-07,0.0106120870338785
2011-08-11,0.00930126626641998
2011-08-15,0.01316820128
2011-08-19,0.0118283541246329
2011-08-23,0.00965587839906486
2011-08-27,0.00791264714139286
2011-08-31,0.007318637406508
2011-09-04,0.0118821362213255
2011-09-08,0.0056955817441371
2011-09-12,0.00585038728017354
2011-09-16,0.00445995745296833
2011-09-20,0.00474582203561442
2011-09-24,0.00650729582436399
2011-09-28,0.00371165574206415
2011-10-02,0.00330501886370302
2011-10-06,0.0067982198471359
2011-10-10,0.00249038962077041
2011-10-14,0.0023264618600908
2011-10-18,0.00204273790759658
2011-10-22,0.00157372113496285
2011-10-26,0.00175696055007587
2011-10-30,0.0024684316811186
2011-11-03,0.00158640408280825
2011-11-07,0.00190156054061434
2011-11-11,0.00128272038891187
2011-11-15,0.00134481311959925
2011-11-19,0.0015704111157917
2011-11-23,0.00144390611556171
2011-11-27,0.00127489906991934
2011-12-01,0.00221335737599
2011-12-05,0.00120519724302521
